Week,State,Sum of Amount_Previous_year,Sum of dine_in_Previous_year
4/13/20,SC,3468345.05,3167367.76
4/13/20,TN,5056429.73,4582486.9
4/13/20,TX,22958755.28,20191699.14
4/13/20,UT,2816863.23,2384347.78
4/13/20,VA,8053789.64,7299932.06
4/13/20,VT,858330,782452.16
4/13/20,WA,8230099.56,7567542.4
4/13/20,WI,3146402.54,2888827.1
4/13/20,WV,374149.3,253872.77
4/20/20,AL,1132053.05,1059700.94
4/20/20,AR,847018.9,659659.22
4/20/20,AZ,3134679.98,2872181.24
4/20/20,CA,48736098.27,38777118.17
4/20/20,CO,7056684.45,5985166.81
4/20/20,CT,6830045.58,5618897.36
4/20/20,DC,4762299.98,4306965.28
4/20/20,DE,786637.44,646573.02
4/20/20,FL,25297011.79,21844914.33
4/20/20,GA,3034005.93,2612022.34
4/20/20,IA,1057158.97,939293.81
4/20/20,ID,712058.24,674762.13
4/20/20,IL,18899571.11,16426343.1
4/20/20,IN,4622614.98,4014831.99
4/20/20,KS,936840.22,803552.97
4/20/20,KY,3111406.95,2843474.96
4/20/20,LA,3949178.91,3667778.51
4/20/20,MA,26627973.1,22265733.89
4/20/20,MD,7937071.52,6691074.31
4/20/20,ME,2180856.08,1847213.5
4/20/20,MI,10663910.47,8913847.48
4/20/20,MN,2464740.6,2216299.25
4/20/20,MO,4446913.38,3838816.87
4/20/20,MS,1328203.59,1259281.22
4/20/20,MT,614269.82,566220.86
4/20/20,NC,5051477.49,4369867.06
4/20/20,NE,1063916.56,949017.41
4/20/20,NH,1734941.84,1382658.17
4/20/20,NJ,5132603.74,4012473.53
4/20/20,NM,971451.46,872130.75
4/20/20,NV,3052249.2,2631149.07
4/20/20,NY,28784697.45,23838932.77
4/20/20,OH,12453307.78,9871486.26
4/20/20,OK,1863192.06,1502764.33
4/20/20,OR,4053716.94,3672092.84
4/20/20,PA,9756905.42,8444256
4/20/20,RI,2376331.2,2058074.95
4/20/20,SC,3358648.03,3076661.34
4/20/20,TN,5496427.09,4996166.12
4/20/20,TX,22985353.62,20188275.89
4/20/20,UT,2964738.48,2497210.73
4/20/20,VA,8221422.01,7373365.92
4/20/20,VT,835594.72,762597
4/20/20,WA,8611716,7893247.11
4/20/20,WI,3308847.7,3014240.41
4/20/20,WV,426748.21,295139.05
4/27/20,AL,1235992.25,1163082.56
4/27/20,AR,840754.88,649164.2
4/27/20,AZ,3172918.86,2905210.32
4/27/20,CA,48101062.66,38432211.54
4/27/20,CO,6940179.97,5885298.25
4/27/20,CT,6987372.25,5819657.54
4/27/20,DC,4578679.7,4129109.82
4/27/20,DE,864316.59,722688.39
4/27/20,FL,24359163.39,20954885.42
4/27/20,GA,2971962.52,2545683.17
4/27/20,IA,1050419.67,925474.52
4/27/20,ID,676486.49,633535.59
4/27/20,IL,20054723.69,17542223.39
4/27/20,IN,4663928.33,4029341.49
4/27/20,KS,943264.44,808484.7
4/27/20,KY,3380257.07,3101677.65
4/27/20,LA,4202285.58,3903910.71
4/27/20,MA,27097860.45,22779844.48
4/27/20,MD,7945328.81,6666726.89
4/27/20,ME,2227235.32,1883833.55
4/27/20,MI,11074117.58,9208082.04
4/27/20,MN,2575670.83,2314481.6
4/27/20,MO,4399228.86,3822882.52
4/27/20,MS,1244671.82,1173403.35
4/27/20,MT,647007.59,598916.55
4/27/20,NC,4974287.39,4291316.35
4/27/20,NE,1060297.49,952480.62
4/27/20,NH,1751926.52,1386006.6
4/27/20,NJ,5185757.95,4014773.12
4/27/20,NM,975561.62,877580.56
4/27/20,NV,3058309.97,2650912.81
4/27/20,NY,29569737.39,24334368.44
4/27/20,OH,13046385.41,10344719.79
4/27/20,OK,1849789.93,1492522.92
4/27/20,OR,4022600.51,3628480.4
4/27/20,PA,9886441.85,8561705.5
4/27/20,RI,2339597.49,2022687.06
4/27/20,SC,3180027.11,2897366.46
4/27/20,TN,5389898.2,4897273.17
4/27/20,TX,23082373.74,20273084.71
4/27/20,UT,3081962.72,2616741.71
4/27/20,VA,8188949.58,7361808.35
4/27/20,VT,794817.62,717659.96
4/27/20,WA,8742054.92,8030553.42
4/27/20,WI,3394141.97,3091038.08
4/27/20,WV,438074.19,305054.36
5/4/20,AL,1105717.01,1040559.89
5/4/20,AR,947481.48,755756.7
5/4/20,AZ,3318744.16,3052793.98
5/4/20,CA,50399482.57,40416270.62
5/4/20,CO,7504833.62,6420410.33
5/4/20,CT,7639354.26,6417847.69
5/4/20,DC,4741047.87,4272477.5
5/4/20,DE,863401.64,717450.85
5/4/20,FL,25219811.89,21669336.48
5/4/20,GA,3093988.1,2653283.17
5/4/20,IA,1202956.1,1076231.18
5/4/20,ID,709870.34,670598.81
5/4/20,IL,20957801.52,18329172.98
5/4/20,IN,5097127,4462704.47
5/4/20,KS,1018643.08,876853.71
5/4/20,KY,3450984.56,3174930.17
5/4/20,LA,3863859.81,3564030.04
5/4/20,MA,28336772.38,23862910.3
5/4/20,MD,8721664.93,7349630
5/4/20,ME,2505959.27,2129666.33
5/4/20,MI,11698966.46,9771093.29
5/4/20,MN,2591736.04,2332550.13
5/4/20,MO,4758070.15,4148761.2
5/4/20,MS,1356748.8,1284056.53
5/4/20,MT,692585.51,640649.86
5/4/20,NC,5338949.48,4639559.92
5/4/20,NE,1072170.08,956032.67
5/4/20,NH,1996425.51,1610062.18
5/4/20,NJ,5629628.75,4434264.58
5/4/20,NM,1025051.96,930709.08
5/4/20,NV,2987327.42,2573968.8
5/4/20,NY,30783897.26,25600730.89
5/4/20,OH,13176919.03,10419799.87
5/4/20,OK,1920875.77,1542472.62
