"State","Date","Date.Week","Amount_2019_weekly","Amount_2020_weekly","Dine_In_2019_weekly","Dine_In_2020_weekly","Off_Prem_2019_weekly","Off_Prem_2020_weekly","Dine_In_2020_weekly_pct","Off_Prem_2020_weekly_pct","Province_State","confirmed","deaths","population","confirmed.add_weekly","deaths.add_weekly","recreation_mob_weekly","residential_mob_weekly","Density","Urbanization.rate","DJUSRU","DJUSRU.t1","DJUSRU.t2","DJUSRU.t3","DJUSRU.t4","DJUSRU.t5","DJUSRU.t6"
"AZ",2020-05-04,2020-05-03,474106.308571429,171499.224285714,436113.425714286,93926.04,37992.8828571429,77573.1842857143,0.547676179826453,0.452323820173547,"Arizona",8924,362,7278717,354.142857142857,24.8571428571429,-29.2857142857143,13,64.9549,0.898,1686.93,1733.53,1685.4,1647.63,1604.6,1448.35,1441.38
"AZ",2020-05-11,2020-05-10,414100.417142857,245492.037142857,376252.938571429,177607.424285714,37847.4785714286,67884.6128571429,0.723475296196107,0.276524703803893,"Arizona",11383,542,7278717,403.714285714286,20.5714285714286,-25.2857142857143,11.8571428571429,64.9549,0.898,1675.93,1686.93,1733.53,1685.4,1647.63,1604.6,1448.35
"AZ",2020-05-18,2020-05-17,436648.697142857,286580.687142857,397686.745714286,220119.588571429,38961.9514285714,66461.0985714286,0.768089401857361,0.231910598142639,"Arizona",14208,687,7278717,347.428571428571,17.2857142857143,-19,10.5714285714286,64.9549,0.898,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63,1604.6
"AZ",2020-05-25,2020-05-24,391130.647142857,306190.552857143,355590.08,242872.508571429,35540.5671428571,63318.0442857143,0.793207061109896,0.206792938890104,"Arizona",16575,807,7278717,508.428571428571,15.1428571428571,-21,11.5714285714286,64.9549,0.898,1776.37,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63
"AZ",2020-06-01,2020-05-31,388418.867142857,299122.512857143,351265.138571429,235135.357142857,37153.7285714286,63987.1557142857,0.786083785191905,0.213916214808095,"Arizona",20129,918,7278717,1007.57142857143,20.5714285714286,-19.1428571428571,10.1428571428571,64.9549,0.898,1830.86,1776.37,1747.03,1675.93,1686.93,1733.53,1685.4
"AZ",2020-06-08,2020-06-07,397673.338571429,341618.627142857,361945.142857143,276724.605714286,35728.1957142857,64894.0214285714,0.810039569647254,0.189960430352746,"Arizona",27678,1053,7278717,1245.28571428571,20,-17.8571428571429,9.42857142857143,64.9549,0.898,1833.02,1830.86,1776.37,1747.03,1675.93,1686.93,1733.53
"AZ",2020-06-15,2020-06-14,385159.632857143,323840.505714286,349674.445714286,256371.061428571,35485.1871428571,67469.4442857143,0.791658414882663,0.208341585117337,"Arizona",36844,1203,7278717,2412.14285714286,22.5714285714286,-19.5714285714286,9.57142857142857,64.9549,0.898,1782.18,1833.02,1830.86,1776.37,1747.03,1675.93,1686.93
"AZ",2020-06-22,2020-06-21,381340.702857143,281829.677142857,345090.618571429,218097.14,36250.0842857143,63732.5371428571,0.773861511715277,0.226138488284723,"Arizona",54599,1351,7278717,3047,35,-22.4285714285714,10.5714285714286,64.9549,0.898,1735.17,1782.18,1833.02,1830.86,1776.37,1747.03,1675.93
"AZ",2020-06-29,2020-06-28,336848.992857143,224391.307142857,309175.667142857,166375.012857143,27673.3257142857,58016.2942857143,0.741450348391711,0.258549651608289,"Arizona",74545,1598,7278717,3454.71428571429,33,-24.2857142857143,11.5714285714286,64.9549,0.898,1733.8,1735.17,1782.18,1833.02,1830.86,1776.37,1747.03
"AZ",2020-07-06,2020-07-05,363588.412857143,239291.804285714,328056.998571429,176576.714285714,35531.4142857143,62715.09,0.737913756857639,0.262086243142361,"Arizona",101455,1829,7278717,3480.57142857143,58.8571428571429,-25.2857142857143,11.5714285714286,64.9549,0.898,1753.87,1733.8,1735.17,1782.18,1833.02,1830.86,1776.37
"AZ",2020-07-13,2020-07-12,375048.238571429,252144.372857143,337434.005714286,189281.542857143,37614.2328571429,62862.83,0.750687158758779,0.249312841241221,"Arizona",123824,2246,7278717,3022.42857142857,74.8571428571429,-23.2,13,64.9549,0.898,1779.88,1753.87,1733.8,1735.17,1782.18,1833.02,1830.86
"CA",2020-02-17,2020-02-16,6680084.39,6843279.82,5420353.89857143,5454559.75571429,1259730.49142857,1388720.06428571,0.797068057888401,0.202931942111599,"California",8,0,39512223,1.42857142857143,0,2.28571428571429,1.28571428571429,256.3728,0.95,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8,1967.95
"CA",2020-02-24,2020-02-23,6603876.65571429,6910524.16857143,5324680.42571429,5471543.35,1279196.23,1438980.81857143,0.791769656907386,0.208230343092614,"California",10,0,39512223,0.285714285714286,0,4,-0.714285714285714,256.3728,0.95,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8
"CA",2020-03-02,2020-03-01,6703296.63142857,6649351.97714286,5437213.72857143,5227163.12,1266082.90285714,1422188.85714286,0.786116171616177,0.213883828383823,"California",21,0,39512223,11.8571428571429,0.142857142857143,3.85714285714286,-0.142857142857143,256.3728,0.95,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01
"CA",2020-03-09,2020-03-08,7101450.49714286,5143070.11857143,5703846.95142857,3816362.93857143,1397603.54571429,1326707.18,0.742039842076173,0.257960157923827,"California",101,1,39512223,39.7142857142857,0.571428571428571,-4.28571428571429,3.85714285714286,256.3728,0.95,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57
"CA",2020-03-16,2020-03-15,7051440.64285714,2062296.82571429,5690348.98714286,843903.592857143,1361091.65571429,1218393.23285714,0.40920568869365,0.59079431130635,"California",557,7,39512223,182.571428571429,3.57142857142857,-33.4285714285714,15.8571428571429,256.3728,0.95,1301.34,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68
