Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2013/5/9,99.69,10628965,31.18,8277542,49.6651,2208244,367.45,834223,,,,,47.4486,709264,57.66,800245,40.46,590778,5.79,7390065,39.9,505545
2013/5/8,100.95,5229038,31.205,5514102,50.0318,3144680,366.33,527737,,,,,47.7352,908339,58.05,891416,40.79,1037023,5.78,14545576,40.09,515466
2013/5/7,102.29,4304619,31.095,7495828,49.3415,1830776,361.09,1010341,,,,,47.6008,735045,57.8,1364546,41.15,708623,6.12,5318839,39.84,454482
2013/5/6,102.07,3314175,31.24,6997334,49.1689,2355980,373.98,497950,,,,,47.377,722243,56.79,606860,40.9,771298,6.14,7008470,39.5,563701
2013/5/3,102.92,4109560,30.935,9835950,49.55,2759994,367.35,234034,,,,,47.2964,1616469,55.98,801606,40.49,1254157,5.9,2688942,39.89,770141
2013/5/2,102.06,3821271,30.19,6238110,48.9532,2869485,365.2,363173,,,,,46.8576,1752156,55.49,897145,40.27,1958834,5.78,2820519,39.57,481488
2013/5/1,101.38,2720066,30.07,6296596,48.6081,2089088,362.18,278269,,,,,46.2846,1685842,54.64,911854,39.11,1158046,5.68,1793443,39.22,835374
2013/4/30,102.14,4207634,30.42,8042092,48.982,3297378,363.19,373852,,,,,46.2308,1902581,55.2,1261021,38.805,648175,5.69,4806851,39.82,1037374
2013/4/29,102.18,3418086,30.29,7401158,48.6081,2762860,363.59,276981,,,,,45.5593,1020564,52.95,797816,38.54,613971,5.68,2062229,39.6,1305654
2013/4/26,100.89,3113532,30,14970972,48.076,2852498,361.73,339766,,,,,45.6578,1054666,52.38,522738,38.58,1274183,5.7,2472999,39.77,1109940
2013/4/25,100.94,3532335,30.25,16608932,48.3204,4744014,362.85,302270,,,,,45.6399,1741584,51.92,402592,39,2598983,5.65,3333582,39.74,2891993
2013/4/24,101.02,4593139,29.915,10415220,49.3631,10297953,362.79,419143,,,,,45.0847,2098614,51.43,330905,37.62,1959972,5.55,2477149,37.74,1501173
2013/4/23,99.76,5757565,29.695,11326822,46.1273,8453987,361.27,713784,,,,,44.6638,2050138,51.01,337971,37.89,837101,5.47,2124043,38.03,1083366
2013/4/22,99.32,5620671,29.32,5547602,46.9255,3133108,362.83,989094,,,,,43.9296,1079686,50.88,310427,37.62,1218023,5.42,2054474,37.84,613075
2013/4/19,99.92,8228507,29.2025,8605904,46.7673,4851759,366.25,2748701,,,,,43.7774,830626,50.58,322116,37.68,621269,5.4,3469828,37.77,626451
2013/4/18,101.91,5697716,28.86,8921456,46.7385,4566035,328.36,1014321,,,,,43.7236,1300469,49.9,398492,37.25,1158475,5.35,3551351,37.59,473442
2013/4/17,102.54,4191501,29.085,7207368,47.623,3680446,339.94,340166,,,,,43.6699,1111200,49.75,606087,37.92,1275035,5.34,8963590,37.9,542315
2013/4/16,103.04,3199659,29.28,8849328,47.925,4399682,342.17,447834,,,,,44.2699,1624653,50.85,506378,38.18,1111859,5.53,5646975,38.16,805008
2013/4/15,102.15,5648442,28.855,10702076,47.5007,4416951,337.17,892240,,,,,43.7057,1592132,50.39,683052,38.2,1060622,5.6,3683997,37.68,785177
2013/4/12,103.59,5714024,29.545,10418510,48.7519,3891501,341.91,782842,,,,,45.0041,1465238,51.86,538002,39.56,502758,5.75,4909802,38.35,1014066
2013/4/11,101.99,4049305,29.2875,10417256,48.342,6904574,331.33,1458320,,,,,44.6191,2192406,52.11,692366,39.29,1206484,5.67,4405296,37.85,596725
2013/4/10,101.49,3159451,28.9,8577388,48.0041,5521238,343.55,947646,,,,,44.9235,2014938,51.75,489298,39.13,879126,5.57,3397696,38.09,661822
2013/4/9,101.06,3690581,28.705,8361358,48.0256,5919836,332.67,521355,,,,,43.9654,3729258,50.67,413041,38.83,971969,5.52,2924318,37.35,843317
2013/4/8,101.5,4163570,29.06,7343972,48.4139,3938406,337.5,730124,,,,,44.6818,1408588,51.13,272989,39.28,1747654,5.51,3167348,37.5,697270
2013/4/5,101.42,5694371,28.9,8993596,48.1551,7612363,328,469919,,,,,45.2548,3344556,50.55,416944,38.81,1983277,5.54,3691010,37.67,456688
2013/4/4,100.63,5860552,29.055,7568680,48.7015,3360472,323.16,415428,,,,,45.7384,3553922,51.22,670311,37.86,985911,5.64,4026870,37.76,544499
2013/4/3,99.25,4454313,28.85,11272606,48.5649,8694090,323.79,412947,,,,,45.3175,1694876,49.65,546559,37.1,597791,5.62,2641891,37.4,689636
2013/4/2,100.26,5137101,29.13,13495750,50.4417,5632322,323.09,240714,,,,,45.9622,1670613,50.09,538999,37.32,648930,5.71,3868110,37.85,730976
2013/4/1,99.05,3156340,28.435,7010032,51.1751,1587065,321.06,421993,,,,,45.5772,1682836,50.84,473238,36.72,740598,5.72,2100809,37.99,879596
2013/3/28,99.69,3955215,28.475,7620590,51.7288,3275248,325.87,387865,,,,,46.2756,2047675,51.44,439378,36.879,381617,5.675,5353675,38.61,774528
2013/3/27,98.9,4403334,28.455,7456828,51.2829,1932284,320.59,215130,,,,,45.3623,870835,51.18,225331,36.97,598937,5.78,3107647,38.25,873227
2013/3/26,98.5,4434102,28.525,6129462,51.1319,2957992,318.5,313704,,,,,45.3891,1655330,51.18,310496,36.8,851835,5.77,3934293,37.81,724280
2013/3/25,98.24,4932416,28.345,10581234,50.8371,3624465,316.77,315454,,,,,45.1116,2638568,51.11,287439,36.69,580721,5.63,1836802,37.28,994982
2013/3/22,99.27,4168785,28.69,8747470,50.1109,1791811,318.23,287064,,,,,44.431,2352300,51.19,345839,37.07,464499,5.61,3223851,37.12,770885
2013/3/21,98.53,3523530,28.525,8307328,49.9455,1829652,319.42,425498,,,,,43.8401,2046403,50.84,337371,36.92,479395,5.62,4390517,36.35,613023
2013/3/20,98.77,3535453,28.715,9623582,49.9383,1649075,322.42,298839,,,,,43.6431,1393704,50.94,429557,37.39,714989,5.6,3128265,36.34,526096
2013/3/19,98.4,4648709,28.415,13337234,49.4997,2390940,317.23,408241,,,,,43.5714,961830,50.3,474901,37.08,691083,5.56,4776685,35.95,481974
2013/3/18,98.57,3935097,28.465,10521622,49.6938,3186987,320.15,184722,,,,,43.7684,1206364,49.96,1422152,36.84,779381,5.48,2458210,36.08,783066
2013/3/15,99.67,6391139,28.83,15103342,50.4776,3498861,321.35,310927,,,,,44.2072,2078690,49.82,491503,37.1,1305155,5.519,4196556,36.14,1004762
2013/3/14,99.31,3650711,28.84,14723306,50.2259,2674654,322.66,298613,,,,,43.7684,1117736,49.96,374422,37.1,1651593,5.5,2107146,36.15,491467
2013/3/13,99.38,3897651,29.2925,7435340,49.8664,5972245,322.38,358434,,,,,43.8848,2592604,49.82,305505,37.4,985414,5.49,2846614,35.88,812447
2013/3/12,98.76,3856650,29.14,11670700,49.4206,9456189,318.45,306360,,,,,42.9178,1454059,49.68,548030,37.25,1992315,5.45,2858329,35.34,1028779
2013/3/11,98.89,4854667,29.305,9898366,48.7806,4666962,322.42,363793,,,,,42.6133,1247725,49.88,481263,37.58,1015322,5.47,2635671,35.51,723344
2013/3/8,98.71,8838507,29.335,14219318,48.6944,4603648,321.84,477790,,,,,42.3805,1368728,49.74,536942,38.17,685093,5.51,3395784,35.61,1028558
2013/3/7,97.09,4566416,29.125,18250822,48.3564,3538603,327.5,330641,,,,,42.5148,1713083,49.66,370182,38.07,696880,5.47,3030942,35.62,396718
2013/3/6,96.81,5054337,28.55,14926418,48.1119,4264132,329,341441,,,,,42.3178,2039628,49.8,408802,38.09,703788,5.48,5378308,35.51,471060
2013/3/5,95.81,5642961,28.255,12931844,47.6733,3145755,329.24,520527,,,,,41.7448,1153914,49.62,717735,38.14,912494,5.53,3728121,35.49,744593
2013/3/4,95.07,4637656,27.85,10194852,47.0765,2150226,321.76,307211,,,,,41.4314,1845382,48.63,722089,37.22,887982,5.47,5264846,35.02,1029792
2013/3/1,95.68,3824220,27.435,8452444,46.8895,3079876,319.74,300757,,,,,41.3508,3374496,48.27,863083,37.03,664980,5.51,13996116,34.49,979262
2013/2/28,95.9,3970952,27.425,10436268,47.0837,3368170,316.79,306386,,,,,41.4314,2118331,47.62,1724607,37.12,1047158,5.7,11526284,34.65,723268
2013/2/27,95.73,4327468,27.285,12056302,47.0118,1984721,316.21,330537,,,,,41.9328,2252524,46.83,867530,36.73,907463,5.5,6343571,34.67,1231372
2013/2/26,96.22,6453541,26.64,10612684,46.645,3758313,311.81,415228,,,,,41.0016,2761882,46,502771,36.51,1235536,5.53,5817650,33.88,1156819
2013/2/25,96.14,9029381,26.605,12334514,46.5444,4389662,311.21,512884,,,,,40.518,3424348,45.16,554667,36.92,1285595,5.45,4007423,33.95,1007796
2013/2/22,95.25,4422483,27.085,11489216,47.0621,2579023,315.51,600207,,,,,41.3955,7661613,46.07,714178,37.11,764273,5.49,4891537,34.48,1200217
2013/2/21,94.14,4425756,26.675,13899010,46.7745,4490522,308.13,639141,,,,,40.0614,3913555,44.62,420555,36.81,803825,5.49,8040654,33.73,2338260
2013/2/20,93.91,4024068,26.655,12476906,46.4221,4303475,309.49,588188,,,,,40.1599,2196323,44.96,395406,36.61,1127536,5.59,12621838,33.1,1783384
2013/2/19,93.85,4402081,27.225,11761712,46.8464,4288868,313.05,530537,,,,,40.518,2147274,45.46,378744,37.47,1347011,5.4,6362613,33.32,1107418
2013/2/15,93.9,5095513,27.17,18196208,46.0123,4334641,314.19,678216,,,,,40.4285,1964151,45.37,581821,37.7,1283664,5.27,5438988,33.07,708374
2013/2/14,93.56,5360819,27.775,8899588,45.9404,3949556,317.72,483832,,,,,40.7598,1562751,44.79,703978,37.29,1112188,5.29,3940605,33.2,707281
