Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2013/7/26,98.03,4561726,36.68,32298126,53.21,3918725,405.87,339348,,,,,43.8132,1734377,62.36,1332960,43.83,2152922,7.14,6239742,40.8,1615969
2013/7/25,97.49,4209397,34.085,16091180,51.8438,2049980,404.25,533074,,,,,43.3297,1393390,61.5,1070197,41.27,3397311,7.02,6489151,40.85,3131131
2013/7/24,96.66,5198765,33.305,14040222,51.3764,3209652,400.12,452061,,,,,43.3207,1388961,61.01,2134393,42,1807844,7.12,11393974,41.9,1557960
2013/7/23,96.76,6993812,33.83,8468942,50.643,3176451,397.41,392172,,,,,44.0639,1148415,59.43,3144749,42.75,733044,7.23,27627787,42.54,713173
2013/7/22,97.58,13210800,34.51,6560082,51.3908,1718983,401.8,577638,,,,,44.0729,1177255,63.61,576444,43.08,903100,6.68,8907191,42.78,1015440
2013/7/19,100.27,4509538,34.395,7198354,51.8294,2021539,408.97,2270920,,,,,44.3146,1101803,63.58,417679,42.915,655166,6.69,3951362,43.29,559367
2013/7/18,100.18,3401764,34.24,8537754,51.9157,2741176,376.75,977198,,,,,44.834,1349840,63.95,622088,43.26,716897,6.81,7542107,43.7,443397
2013/7/17,100.1,5382576,34.1,12148310,51.3405,1695432,375.77,478018,,,,,44.3773,1243195,63.05,390275,43.08,666759,6.62,6549945,43.57,580057
2013/7/16,100.88,4407298,34.76,6068146,51.4627,2962826,379.13,559913,,,,,45.0757,1050321,63.16,520541,43.59,1305406,6.57,7830388,44.09,572963
2013/7/15,100.75,4481772,34.83,6180864,51.5993,3331312,384.19,337765,,,,,45.801,1593226,63.61,389498,44.02,953107,6.51,4857503,44.06,466751
2013/7/12,101.58,4767336,34.86,9706732,50.794,5890820,386.27,340313,,,,,45.1563,1523574,63.33,423569,44.2,685161,6.48,14507432,43.95,326480
2013/7/11,100.79,4064588,34.67,8385998,51.4339,6580788,383.13,282273,,,,,45.2638,1553259,63,406638,44.74,677608,6.13,2235858,43.85,557190
2013/7/10,99.98,3524760,34.05,8078792,52.0308,2650180,382.03,373970,,,,,45.6219,1607459,62.24,294660,44.32,691847,6.1,3605564,43.78,375019
2013/7/9,99.99,4121319,34.065,7459914,52.491,2591528,386.33,294919,,,,,46.4636,827657,62.14,423399,44.01,931380,6.009,3532370,43.82,469656
2013/7/8,99.88,4065027,34.145,8029920,52.1242,2501014,386.03,345376,,,,,46.3114,1411139,61.18,742244,44.54,909826,5.93,2481820,43.3,434255
2013/7/5,99.86,3934780,33.86,5191044,51.5274,1529386,386.33,379403,,,,,45.9622,649141,61.01,435960,44.43,398918,5.93,933320,43,602358
2013/7/3,100.35,1685494,33.65,5635188,51.1391,1840656,384.47,691945,,,,,45.6309,673031,60.23,577946,43.94,434707,5.86,1260267,42.39,413021
2013/7/2,99.93,3851243,33.395,6765528,50.4057,2314662,371.53,444377,,,,,45.5861,1408307,60.14,677897,43.96,1310955,5.91,1623615,42.37,370106
2013/7/1,99.82,4054069,33.12,6693040,50.492,2166034,363.74,354946,,,,,45.3444,1648275,59.91,737781,43.52,751341,5.91,2678942,42.33,415692
2013/6/28,99,5388555,32.755,10837306,49.8592,3072574,364.35,461100,,,,,45.2011,3480211,58.15,4689476,42.82,3299745,5.83,2101786,41.89,1002005
2013/6/27,99.65,4497099,32.845,6308110,50.0462,1828622,364.15,336673,,,,,44.243,1579862,58.8,542974,43.16,975364,5.85,2184546,41.75,568116
2013/6/26,98.84,3589053,32.9,9545842,49.7729,2141644,363.67,346312,,,,,44.3684,1256628,57.69,699879,42.97,910489,5.81,2439995,41.27,491644
2013/6/25,97.52,3212088,32.37,9856852,49.1402,2254574,358.96,295051,,,,,43.9385,3022575,57.57,673479,42.39,806913,5.72,3264614,40.86,686968
2013/6/24,97.29,4244521,32.005,9913778,48.9676,3287100,358.16,452487,,,,,43.9027,3396725,57.01,956646,41.7,1135046,5.67,3945183,40.64,552450
2013/6/21,97.23,7228254,32.345,14709502,49.6004,4734644,361.64,691265,,,,,44.8787,5735459,57.5,1161581,41.89,1581072,5.715,3509773,40.84,1251118
2013/6/20,96.79,5550903,32.61,11608580,49.8952,3127317,360.86,438224,,,,,45.8727,2442445,57.53,726347,42.12,863942,5.77,3446454,41.88,1099290
2013/6/19,98.81,3518597,33.205,10647254,51.4196,1830838,366.87,282459,,,,,47.1173,1593240,59.77,416231,42.86,775666,5.98,2561793,42.08,502523
2013/6/18,99.75,3340008,33.5475,7455872,51.9301,1740993,372.66,267035,,,,,47.574,1574492,60.44,478263,42.97,1127007,5.99,2247775,42.07,458113
2013/6/17,98.74,4885470,33.015,8115800,51.4843,1900867,367.68,257156,,,,,47.2516,1282749,59.55,524426,42.42,1204495,5.94,2587744,41.66,508324
2013/6/14,98.42,3351009,32.8,9854434,51.1319,1788613,368.12,304430,,,,,47.0457,874808,59.59,341497,42.02,649795,5.96,3131470,41.46,310514
2013/6/13,98.88,2928559,32.985,11910182,51.4915,2892555,371.43,309640,,,,,47.7083,1285803,60.02,448773,41.97,603697,5.98,2459376,41.62,360256
2013/6/12,98.24,4485137,32.225,10070120,51.5562,3452002,364.19,388398,,,,,47.1621,2670873,59.43,464342,41.36,726190,5.93,3025697,41.39,435087
